,team_1,team_2,season,player_of_the_match,toss_winner,toss_decision,target,winner_team,won_by_margin,umpire_1,umpire_2,tv_umpire,match_referee
0,Biratnagar Kings,Janakpur Bolts,2024/25,Lahiru Milantha,Janakpur Bolts,field first,127,Janakpur,8 wickets,Durga Subedi,Vinay Kumar,Bismillah Jan Shinwari,Mohammed Shafique
1,Kathmandu Gurkhas,Chitwan Rhinos,2024/25,Sohail Tanvir,Chitwan Rhinos,field first,111/9,Chitwan,5 wickets,Buddhi Pradhan,Himal Giri,Durga Subedi,Mohammed Shafique
2,Karnali Yaks,Janakpur Bolts,2024/25,Anil Sah,Karnali Yaks,bat first,141/7,Janakpur,8 wickets,Bismillah Jan Shinwari,Rashid Riaz,Vinay Kumar,Mohammed Shafique
3,Sudur Paschim Royals,Biratnagar Kings,2024/25,Dipendra Singh Airee,Biratnagar Kings,field first,182/7,Sudur Paschim Royals,90 runs,Durga Subedi,Himal Giri,Rashid Riaz,Mohammed Shafique
4,Chitwan Rhinos,Pokhara Avengers,2024/25,Rijan Dhakal,Pokhara Avengers,field first,161/7,Chitwan,87 runs,Bismillah Jan Shinwari,Vinay Kumar,Buddhi Pradhan,Mohammed Shafique
5,Karnali Yaks,Kathmandu Gurkhas,2024/25,Sumit Maharjan,Kathmandu Gurkhas,field first,149/5,Kathmandu,3 wickets,Himal Giri,Rashid Riaz,Vinay Kumar,Manu Nayar
6,Lumbini Lions,Biratnagar Kings,2024/25,Lokesh Bam,Biratnagar Kings,field first,191/7,Biratnagar,2 wickets,Bismillah Jan Shinwari,Buddhi Pradhan,Durga Subedi,Manu Nayar
7,Pokhara Avengers,Janakpur Bolts,2024/25,James Neesham,Janakpur Bolts,field first,138/7,Janakpur,7 wickets,Durga Subedi,Vinay Kumar,Buddhi Pradhan,Mohammed Shafique
8,Sudur Paschim Royals,Kathmandu Gurkhas,2024/25,Naren Saud,Kathmandu Gurkhas,field first,167/6,Sudur Paschim Royals,73 runs,Himal Giri,Rashid Riaz,Bismillah Jan Shinwari,Manu Nayar
9,Chitwan Rhinos,Karnali Yaks,2024/25,Bipin Sharma,Karnali Yaks,field first,130/7,Karnali,6 wickets,Bismillah Jan Shinwari,Durga Subedi,Rashid Riaz,Mohammed Shafique
10,Lumbini Lions,Pokhara Avengers,2024/25,Andries Gous,Lumbini Lions,bat first,170/5,Pokhara,10 wickets,Buddhi Pradhan,Himal Giri,Vinay Kumar,Manu Nayar
11,Sudur Paschim Royals,Lumbini Lions,2024/25,Saif Zaib,Lumbini Lions,field first,187/4,Sudur Paschim Royals,45 runs,Buddhi Pradhan,Rashid Riaz,Bismillah Jan Shinwari,Manu Nayar
12,Karnali Yaks,Biratnagar Kings,2024/25,William Bosisto,Biratnagar Kings,field first,133,Karnali,7 runs,Himal Giri,Vinay Kumar,Durga Subedi,Mohammed Shafique
13,Janakpur Bolts,Lumbini Lions,2024/25,Harsh Thaker,Lumbini Lions,field first,136/9,Janakpur,1 run,Durga Subedi,Himal Giri,Buddhi Pradhan,Manu Nayar
14,Chitwan Rhinos,Sudur Paschim Royals,2024/25,Hassan Eisakhil,Chitwan Rhinos,bat first,164/5,Chitwan,33 runs,Bismillah Jan Shinwari,Rashid Riaz,Vinay Kumar,Mohammed Shafique
15,Lumbini Lions,Chitwan Rhinos,2024/25,Rohit Paudel,Chitwan Rhinos,field first,167/6,Lumbini,33 runs,Buddhi Pradhan,Himal Giri,Durga Subedi,Mohammed Shafique
16,Pokhara Avengers,Karnali Yaks,2024/25,William Bosisto,Pokhara Avengers,bat first,103,Karnali,7 wickets,Bismillah Jan Shinwari,Sanjay Gurung,Rashid Riaz,Manu Nayar
17,Sudur Paschim Royals,Janakpur Bolts,2024/25,Ishan Pandey,Janakpur Bolts,field first,123/9,Sudur Paschim Royals,72 runs,Durga Subedi,Vinay Kumar,Sanjay Gurung,Manu Nayar
18,Kathmandu Gurkhas,Lumbini Lions,2024/25,Karan KC,Kathmandu Gurkhas,bat first,103,Kathmandu,18 runs,Himal Giri,Rashid Riaz,Bismillah Jan Shinwari,Manu Nayar
19,Biratnagar Kings,Pokhara Avengers,2024/25,Raymon Reifer,Biratnagar Kings,bat first,139/7,Pokhra Avengers,0 super over,Bismillah Jan Shinwari,Vinay Kumar,Rashid Riaz,Manu Nayar
20,Kathmandu Gurkhas,Janakpur Bolts,2024/25,Lalit Rajbanshi,Kathmandu Gurkhas,bat first,101,Janakpur,5 wickets,Himal Giri,Sanjay Gurung,Buddhi Pradhan,Mohammed Shafique
21,Karnali Yaks,Lumbini Lions,2024/25,William Bosisto,Lumbini Lions,field first,128/8,Karnali,5 runs,Himal Giri,Rashid Riaz,Vinay Kumar,Mohammed Shafique
22,Biratnagar Kings,Chitwan Rhinos,2024/25,Basir Ahamad,Biratnagar Kings,bat first,181/5,Biratnagar,51 runs,Bismillah Jan Shinwari,Buddhi Pradhan,Durga Subedi,Mohammed Shafique
23,Pokhara Avengers,Kathmandu Gurkhas,2024/25,Stephen Eskinazi,Kathmandu Gurkhas,field first,138/8,Kathmandu,6 wickets,Durga Subedi,Rashid Riaz,Bismillah Jan Shinwari,Mohammed Shafique
24,Chitwan Rhinos,Janakpur Bolts,2024/25,Kushal Malla,Chitwan Rhinos,bat first,180/5,Chitwan,32 runs,Sanjay Gurung,Vinay Kumar,Buddhi Pradhan,Manu Nayar
25,Biratnagar Kings,Kathmandu Gurkhas,2024/25,Dipesh Kandel,Kathmandu Gurkhas,field first,117,Kathmandu,1 wicket,Buddhi Pradhan,Durga Subedi,Vinay Kumar,Manu Nayar
26,Sudur Paschim Royals,Pokhara Avengers,2024/25,Scott Kuggeleijn,Pokhara Avengers,field first,153/7,Sudur Paschim Royals,5 runs,Bismillah Jan Shinwari,Rashid Riaz,Sanjay Gurung,Mohammed Shafique
27,Karnali Yaks,Sudur Paschim Royals,2024/25,Dipendra Singh Airee,Sudur Paschim Royals,field first,101,Sudur Paschim Royals,6 wickets,Himal Giri,Sanjay Gurung,Bismillah Jan Shinwari,Mohammed Shafique
28,Karnali Yaks,Chitwan Rhinos,2024/25,Chadwick Walton,Chitwan Rhinos,field first,175/6,Karnali,21 runs,Rashid Riaz,Sanjay Gurung,Durga Subedi,Manu Nayar
29,Janakpur Bolts,Sudur Paschim Royals,2024/25,Binod Bhandari,Janakpur Bolts,bat first,139/9,Sudur Paschim Royals,8 wickets,Bismillah Jan Shinwari,Buddhi Pradhan,Vinay Kumar,Mohammed Shafique
30,Karnali Yaks,Janakpur Bolts,2024/25,James Neesham,Janakpur Bolts,field first,118/9,Janakpur,2 wickets,Durga Subedi,Vinay Kumar,Sanjay Gurung,Manu Nayar
