match_no,inning,date,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,1,Lokesh Bam,K Mahato,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,2,Lokesh Bam,K Mahato,MJ Guptill,4,0,4,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,3,Lokesh Bam,K Mahato,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,4,Lokesh Bam,K Mahato,MJ Guptill,0,1,1,wides,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,5,Lokesh Bam,K Mahato,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,6,Lokesh Bam,K Mahato,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,0,7,MJ Guptill,K Mahato,Lokesh Bam,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1,1,Lokesh Bam,LN Rajbanshi,MJ Guptill,0,0,0,,True,Lokesh Bam,bowled,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1,2,Aqib Ilyas,LN Rajbanshi,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1,3,Aqib Ilyas,LN Rajbanshi,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1,4,Aqib Ilyas,LN Rajbanshi,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1,5,MJ Guptill,LN Rajbanshi,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,1,6,MJ Guptill,LN Rajbanshi,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,2,1,Aqib Ilyas,K Mahato,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,2,2,MJ Guptill,K Mahato,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,2,3,Aqib Ilyas,K Mahato,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,2,4,MJ Guptill,K Mahato,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,2,5,MJ Guptill,K Mahato,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,2,6,MJ Guptill,K Mahato,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,3,1,MJ Guptill,LN Rajbanshi,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,3,2,MJ Guptill,LN Rajbanshi,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,3,3,Aqib Ilyas,LN Rajbanshi,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,3,4,MJ Guptill,LN Rajbanshi,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,3,5,Aqib Ilyas,LN Rajbanshi,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,3,6,MJ Guptill,LN Rajbanshi,Aqib Ilyas,4,0,4,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,4,5,MJ Guptill,BWM Mike,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,4,4,MJ Guptill,BWM Mike,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,4,3,Aqib Ilyas,BWM Mike,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,4,2,Aqib Ilyas,BWM Mike,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,4,1,Aqib Ilyas,BWM Mike,MJ Guptill,2,0,2,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,4,6,Aqib Ilyas,BWM Mike,MJ Guptill,4,0,4,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,5,1,MJ Guptill,LN Rajbanshi,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,5,2,MJ Guptill,LN Rajbanshi,Aqib Ilyas,4,0,4,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,5,3,MJ Guptill,LN Rajbanshi,Aqib Ilyas,4,0,4,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,5,4,MJ Guptill,LN Rajbanshi,Aqib Ilyas,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,5,5,MJ Guptill,LN Rajbanshi,Aqib Ilyas,2,0,2,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,5,6,MJ Guptill,LN Rajbanshi,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,6,1,MJ Guptill,Mohammad Mohsin,Aqib Ilyas,4,0,4,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,6,2,MJ Guptill,Mohammad Mohsin,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,6,3,Aqib Ilyas,Mohammad Mohsin,MJ Guptill,0,1,1,legbyes,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,6,4,MJ Guptill,Mohammad Mohsin,Aqib Ilyas,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,6,5,Aqib Ilyas,Mohammad Mohsin,MJ Guptill,0,0,0,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,6,6,Aqib Ilyas,Mohammad Mohsin,MJ Guptill,1,0,1,,False,,,
1,1,2024-11-30,Biratnagar Kings,Janakpur Bolts,7,2,MJ Guptill,TB Thapa,Aqib Ilyas,0,0,0,,False,,,
